,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-05-19 20:08:01,2025-05-19 20:07:59,6273.0,244.0,4501.0,625.0,3685.0,64.0,4319.0,87948.0,2025-05-15 14:01:31,4.1.7,6244221.0,156105.0,100.0,A utility-first CSS framework for rapid UI development.,14936199.0,14936199.0,309.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-05-22 14:28:49,2025-05-22 08:50:11,6345.0,212.0,18446.0,211.0,8198.0,1550.0,6042.0,25927.0,2025-05-09 07:17:11,2.9.10,,1218217.0,100.0,A Vue.js 3 UI Library made by Element team.,122192.0,122192.0,749.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,1218217.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-05-20 10:21:17,2025-05-20 10:21:11,13584.0,609.0,1461.0,93.0,1718.0,616.0,5365.0,12653.0,2025-05-07 09:13:25,4.3.4,,1428939.0,100.0,Next Generation Vue UI Component Library.,37844.0,37844.0,398.0,43,True,1,primevue,https://www.npmjs.com/package/primevue,1428939.0,,
3,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-05-14 09:49:47,2025-05-14 09:49:47,2493.0,27.0,1217.0,53.0,1236.0,32.0,923.0,4241.0,2025-04-25 13:03:13,4.5.1,,27934075.0,73.0,The official router for Vue.js.,2593468.0,2593468.0,259.0,43,True,1,router,https://www.npmjs.com/package/router,27934075.0,1.0,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-05-21 15:32:38,2025-05-21 15:32:38,1672.0,38.0,10980.0,1182.0,1829.0,573.0,4236.0,106946.0,2025-04-24 20:18:54,1.9.0,,,94.0,Promise based HTTP client for the browser and node.js.,16980621.0,16980621.0,503.0,42,True,1,,,,,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9488.0,759.0,985.0,99.0,1167.0,28456.0,2021-06-17 15:52:07,4.0.2,,6973274.0,51.0,Centralized State Management for Vue.js.,1356006.0,1356006.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6973274.0,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-05-18 18:56:41,2025-05-16 14:54:57,6787.0,36.0,1295.0,190.0,2380.0,103.0,1280.0,28239.0,2025-05-16 14:56:31,@xstate/store@3.6.2,,8615968.0,100.0,Actor-based state management & orchestration for complex app logic.,325515.0,325515.0,369.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,8615968.0,,
7,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-05-20 15:41:10,2025-05-20 15:36:26,14990.0,97.0,3586.0,458.0,4733.0,539.0,7439.0,26599.0,2025-05-20 15:41:10,@quasar-extras-v1.17.0,,690422.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,58376.0,58376.0,766.0,42,True,2,quasar,https://www.npmjs.com/package/quasar,690422.0,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-05-13 17:01:06,2025-05-13 17:01:06,2128.0,24.0,1130.0,65.0,927.0,21.0,773.0,13893.0,2025-04-09 14:23:25,3.0.2,,8327081.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",370685.0,370685.0,271.0,42,True,1,pinia,https://www.npmjs.com/package/pinia,8327081.0,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2025-03-31 06:43:28,2025-03-31 06:43:28,5424.0,17.0,1851.0,284.0,3706.0,174.0,3233.0,14514.0,2022-04-17 12:49:53,2.22.0,,887653.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,183584.0,183584.0,364.0,41,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,887653.0,,
