,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-01-16 17:09:58,2025-01-16 17:09:56,5906.0,281.0,4238.0,623.0,3298.0,73.0,3576.0,84539.0,2024-12-17 19:34:59,3.4.17,4972164.0,124304.0,100.0,A utility-first CSS framework for rapid UI development.,12695004.0,12695004.0,294.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-01-16 15:30:35,2025-01-16 14:30:08,6065.0,217.0,17347.0,204.0,7793.0,1501.0,5710.0,25008.0,2025-01-10 14:22:10,2.9.3,,749229.0,100.0,A Vue.js 3 UI Library made by Element team.,107808.0,107808.0,708.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,749229.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-01-15 13:18:42,2025-01-15 13:18:39,12745.0,999.0,1284.0,87.0,1538.0,533.0,4986.0,11411.0,2024-12-12 09:38:23,4.2.5,,925144.0,100.0,Next Generation Vue UI Component Library.,32075.0,32075.0,347.0,44,True,1,primevue,https://www.npmjs.com/package/primevue,925144.0,,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-01-16 10:43:50,2025-01-16 10:43:36,14863.0,423.0,3538.0,458.0,4693.0,498.0,7380.0,26145.0,2025-01-15 12:23:42,@quasar/vite-plugin-v1.9.0,,515283.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,55220.0,55220.0,753.0,43,True,2,quasar,https://www.npmjs.com/package/quasar,515283.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-01-10 02:57:40,2025-01-10 02:57:40,1617.0,34.0,10831.0,1187.0,1749.0,559.0,4188.0,106155.0,2024-12-04 07:38:11,1.7.9,,,87.0,Promise based HTTP client for the browser and node.js.,15413690.0,15413690.0,481.0,42,True,1,,,,,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9492.0,760.0,982.0,98.0,1166.0,28441.0,2021-06-17 15:52:07,4.0.2,,5065988.0,51.0,Centralized State Management for Vue.js.,1336023.0,1336023.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,5065988.0,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-01-12 18:45:02,2025-01-12 18:43:27,6738.0,16.0,1265.0,190.0,2331.0,92.0,1268.0,27628.0,2025-01-12 18:45:17,@xstate/solid@1.0.2,,5608747.0,100.0,Actor-based state management & orchestration for complex app logic.,295390.0,295390.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,5608747.0,,
7,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-01-15 09:05:44,2025-01-15 09:05:41,2072.0,54.0,1068.0,67.0,894.0,26.0,737.0,13424.0,2024-12-05 18:07:25,2.3.0,,5397868.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",315966.0,315966.0,258.0,41,True,2,pinia,https://www.npmjs.com/package/pinia,5397868.0,,
8,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-01-09 14:48:15,2025-01-07 13:47:27,2462.0,21.0,1184.0,58.0,1214.0,33.0,904.0,4039.0,2024-11-25 15:00:41,4.5.0,,3202238.0,72.0,The official router for Vue.js.,2470085.0,2470085.0,246.0,41,True,1,router,https://www.npmjs.com/package/router,3202238.0,,
9,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2025-01-16 13:01:58,2025-01-16 13:01:55,1906.0,20.0,3906.0,586.0,1203.0,307.0,2378.0,49490.0,2024-12-27 20:28:08,1.0.3,853818.0,9814.0,21.0,Modern CSS framework based on Flexbox.,257812.0,257812.0,423.0,40,True,3,,,,,
10,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2025-01-05 22:09:18,2024-10-31 12:57:01,5382.0,2.0,1855.0,287.0,3684.0,171.0,3231.0,14515.0,2022-04-17 12:49:53,2.22.0,,784952.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,181570.0,181570.0,358.0,39,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,784952.0,-1.0,
11,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2025-01-15 05:27:33,2025-01-05 09:04:07,5275.0,12.0,3775.0,301.0,1886.0,156.0,5692.0,20474.0,2024-11-11 06:59:22,4.2.6,,346396.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,60414.0,60414.0,290.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,346396.0,,
12,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2025-01-16 17:56:59,2025-01-16 17:56:54,12736.0,102.0,2626.0,282.0,6586.0,483.0,4718.0,19434.0,2025-01-14 17:51:28,3.12.6,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",188649.0,188649.0,896.0,38,True,1,,,,,
13,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2025-01-07 09:32:40,2025-01-05 15:07:06,8885.0,60.0,1693.0,92.0,3163.0,465.0,2773.0,16557.0,,,,119887.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,32716.0,32716.0,327.0,38,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,119887.0,,
14,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2025-01-16 16:35:12,2025-01-15 12:59:34,5263.0,184.0,2674.0,515.0,5364.0,896.0,4151.0,88432.0,2025-01-13 12:33:37,tauri-v2.2.2,3909.0,3607.0,100.0,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",697.0,697.0,434.0,36,True,1,tauri,https://www.npmjs.com/package/tauri,2304.0,-1.0,
15,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2025-01-15 16:27:23,2025-01-15 16:27:22,4833.0,39.0,1270.0,113.0,935.0,68.0,3412.0,10899.0,2024-12-22 16:28:52,4.15.0,,,100.0,Painless Vue forms.,88972.0,88972.0,392.0,35,True,1,,,,-1.0,
16,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-12-23 12:52:30,2024-12-23 12:52:22,1469.0,3.0,4987.0,505.0,988.0,64.0,2790.0,18990.0,2022-09-06 10:10:34,3.6.5,,10703927.0,90.0,The official router for Vue 2.,3.0,3.0,291.0,34,True,3,vue-router,https://www.npmjs.com/package/vue-router,10703927.0,,
17,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2025-01-15 18:03:36,2025-01-15 18:03:36,2749.0,18.0,459.0,87.0,1558.0,25.0,941.0,8708.0,2024-12-09 19:44:02,@urql/core@5.1.0,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,577573.0,577573.0,264.0,33,True,2,,,,,
18,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2025-01-09 15:12:39,2024-12-25 05:00:03,3662.0,22.0,345.0,34.0,1783.0,470.0,2044.0,3558.0,2024-10-17 15:15:46,1.10.3,,9064.0,61.0,"Vuestic UI is an open-source Vue 3 component library designed for rapid development, easy maintenance, and high..",1716.0,1716.0,135.0,33,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,9064.0,-1.0,
19,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2025-01-15 22:46:53,2025-01-15 22:46:51,3242.0,90.0,304.0,61.0,4910.0,179.0,1013.0,959.0,2025-01-15 18:06:22,@aws-amplify/ui-react-notifications@2.2.0,,58064.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",65406.0,65406.0,138.0,33,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,58064.0,-1.0,
20,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2025-01-14 10:43:19,2025-01-05 13:42:35,22362.0,21.0,199.0,24.0,696.0,,154.0,780.0,2024-10-28 16:24:08,5.2.0,10567.0,133.0,93.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,39582.0,39582.0,1528.0,33,True,3,,,,,
21,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2025-01-14 19:51:32,2025-01-14 19:39:02,10247.0,148.0,1794.0,327.0,2584.0,564.0,1702.0,18467.0,2024-11-21 18:42:55,18.2.0,,,86.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,923.0,31,True,2,,,,,
22,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1586.0,257.0,142.0,83.0,453.0,10072.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,132767.0,132767.0,26.0,30,True,3,,,,,
