,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-03-06 16:39:18,2025-03-06 16:24:00,6071.0,232.0,4361.0,620.0,3472.0,78.0,3984.0,86157.0,2025-03-06 11:23:09,4.0.11,5491622.0,140810.0,100.0,A utility-first CSS framework for rapid UI development.,13495004.0,13495004.0,305.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-03-06 15:40:20,2025-03-06 11:11:01,6160.0,185.0,17735.0,207.0,7943.0,1523.0,5797.0,25284.0,2025-02-21 05:34:51,2.9.5,,1115363.0,100.0,A Vue.js 3 UI Library made by Element team.,112293.0,112293.0,722.0,44,True,1,element-plus,https://www.npmjs.com/package/element-plus,1115363.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-03-06 13:24:31,2025-03-06 13:24:30,13110.0,679.0,1365.0,91.0,1620.0,556.0,5154.0,11979.0,2025-02-24 14:03:47,4.3.0,,1332227.0,100.0,Next Generation Vue UI Component Library.,34150.0,34150.0,366.0,43,True,1,primevue,https://www.npmjs.com/package/primevue,1332227.0,,
3,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-03-06 01:29:40,2025-03-02 15:29:51,1639.0,28.0,10864.0,1184.0,1776.0,568.0,4199.0,106437.0,2025-02-26 09:06:55,1.8.1,,,89.0,Promise based HTTP client for the browser and node.js.,15967961.0,15967961.0,495.0,42,True,1,,,,,
4,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9492.0,761.0,983.0,99.0,1167.0,28454.0,2021-06-17 15:52:07,4.0.2,,7035313.0,51.0,Centralized State Management for Vue.js.,1343270.0,1343270.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7035313.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-03-02 15:04:59,2025-03-02 15:04:49,6755.0,24.0,1278.0,190.0,2346.0,97.0,1273.0,27894.0,2025-02-24 14:52:21,@xstate/store@3.2.0,,8575875.0,100.0,Actor-based state management & orchestration for complex app logic.,310841.0,310841.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,8575875.0,,
6,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-03-06 14:07:20,2025-03-06 14:07:09,14958.0,181.0,3559.0,460.0,4710.0,511.0,7418.0,26336.0,2025-03-06 13:27:35,quasar-v2.18.1,,706898.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,56476.0,56476.0,762.0,42,True,2,quasar,https://www.npmjs.com/package/quasar,706898.0,-1.0,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-03-04 16:41:01,2025-03-04 16:41:01,2470.0,13.0,1208.0,55.0,1227.0,31.0,913.0,4115.0,2024-11-25 15:00:41,4.5.0,,6318014.0,72.0,The official router for Vue.js.,2514590.0,2514590.0,251.0,42,True,1,router,https://www.npmjs.com/package/router,6318014.0,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-03-06 13:07:18,2025-03-06 13:07:18,2113.0,49.0,1091.0,66.0,910.0,19.0,758.0,13618.0,2025-02-11 14:59:44,3.0.0,,8119754.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",335142.0,335142.0,264.0,41,True,2,pinia,https://www.npmjs.com/package/pinia,8119754.0,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2025-01-05 22:09:18,2024-10-31 12:57:01,5382.0,,1853.0,287.0,3684.0,171.0,3231.0,14514.0,2022-04-17 12:49:53,2.22.0,,955446.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,182414.0,182414.0,358.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,955446.0,,
