,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-11-21 18:00:11,2024-11-21 16:52:44,5792.0,363.0,4174.0,615.0,3152.0,59.0,3434.0,83224.0,2024-11-14 18:43:20,3.4.15,4525603.0,110380.0,100.0,A utility-first CSS framework for rapid UI development.,11920723.0,11920723.0,292.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-11-21 13:25:48,2024-11-21 12:49:50,5934.0,219.0,16664.0,202.0,7570.0,1460.0,5564.0,24610.0,2024-11-15 10:31:40,2.8.8,,1087755.0,100.0,A Vue.js 3 UI Library made by Element team.,102480.0,102480.0,690.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,1087755.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-11-21 16:28:18,2024-11-21 16:28:17,12350.0,1311.0,1227.0,85.0,1464.0,583.0,4734.0,10622.0,2024-11-14 11:56:48,4.2.2,,1230534.0,100.0,Next Generation Vue UI Component Library.,29893.0,29893.0,325.0,44,True,1,primevue,https://www.npmjs.com/package/primevue,1230534.0,,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-11-21 10:11:26,2024-11-21 10:11:15,14645.0,303.0,3509.0,458.0,4672.0,496.0,7338.0,25982.0,2024-11-18 13:27:43,quasar-v2.17.4,,652368.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,53840.0,53840.0,750.0,43,True,2,quasar,https://www.npmjs.com/package/quasar,652368.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-11-21 12:27:20,2024-11-19 08:39:59,1605.0,42.0,10801.0,1186.0,1732.0,539.0,4175.0,105817.0,2024-11-21 12:27:20,0.29.0,,,85.0,Promise based HTTP client for the browser and node.js.,14881129.0,14881129.0,480.0,42,True,1,,,,-1.0,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,1.0,9504.0,759.0,981.0,98.0,1166.0,28415.0,2021-06-17 15:52:07,4.0.2,,6889249.0,51.0,Centralized State Management for Vue.js.,1326825.0,1326825.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6889249.0,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-11-14 18:50:55,2024-11-12 14:00:55,6726.0,32.0,1249.0,192.0,2318.0,90.0,1261.0,27191.0,2024-11-12 14:03:06,@xstate/vue@4.0.0,,7039315.0,100.0,Actor-based state management & orchestration for complex app logic.,284351.0,284351.0,364.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,7039315.0,,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-11-15 10:45:33,2024-11-15 10:45:31,2451.0,28.0,1180.0,57.0,1204.0,32.0,896.0,3940.0,2024-09-13 06:46:46,4.4.5,,3683079.0,71.0,The official router for Vue.js.,2422783.0,2422783.0,241.0,42,True,1,router,https://www.npmjs.com/package/router,3683079.0,,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-11-11 10:32:10,2024-11-11 10:32:08,1893.0,20.0,3907.0,588.0,1197.0,297.0,2372.0,49381.0,2024-07-25 15:02:20,1.0.2,841435.0,9899.0,20.0,Modern CSS framework based on Flexbox.,256023.0,256023.0,419.0,40,True,3,,,,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-10-31 12:57:04,2024-10-31 12:57:01,5382.0,6.0,1856.0,287.0,3683.0,170.0,3232.0,14512.0,2022-04-17 12:49:53,2.22.0,,1167941.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,180622.0,180622.0,358.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1167941.0,,
