,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-01-30 17:14:07,2025-01-30 15:58:20,5949.0,263.0,4281.0,627.0,3347.0,85.0,3688.0,85156.0,2025-01-29 19:25:10,4.0.1,5111308.0,127782.0,100.0,A utility-first CSS framework for rapid UI development.,12906473.0,12906473.0,296.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-01-30 12:44:08,2025-01-30 12:44:05,6093.0,219.0,17425.0,205.0,7831.0,1503.0,5732.0,25069.0,2025-01-10 14:22:10,2.9.3,,815785.0,100.0,A Vue.js 3 UI Library made by Element team.,108756.0,108756.0,713.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,815785.0,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-01-22 08:54:19,2025-01-22 08:54:18,14877.0,396.0,3542.0,458.0,4700.0,504.0,7387.0,26182.0,2025-01-21 15:56:45,@quasar-extras-v1.16.16,,587234.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,55535.0,55535.0,753.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,587234.0,,
3,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-01-29 17:14:24,2025-01-29 17:14:23,12814.0,631.0,1305.0,87.0,1561.0,539.0,5020.0,11574.0,2024-12-12 09:38:23,4.2.5,,1067582.0,100.0,Next Generation Vue UI Component Library.,32668.0,32668.0,352.0,43,True,1,primevue,https://www.npmjs.com/package/primevue,1067582.0,-1.0,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-01-28 17:36:33,2025-01-28 17:36:33,1619.0,31.0,10847.0,1185.0,1755.0,561.0,4189.0,106231.0,2024-12-04 07:38:11,1.7.9,,,87.0,Promise based HTTP client for the browser and node.js.,15557258.0,15557258.0,483.0,42,True,1,,,,,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9489.0,760.0,983.0,99.0,1166.0,28437.0,2021-06-17 15:52:07,4.0.2,,5671669.0,51.0,Centralized State Management for Vue.js.,1337916.0,1337916.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,5671669.0,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-01-26 20:36:31,2025-01-26 20:36:19,6741.0,18.0,1267.0,189.0,2332.0,94.0,1269.0,27697.0,2025-01-12 18:45:17,@xstate/solid@1.0.2,,6610835.0,100.0,Actor-based state management & orchestration for complex app logic.,300899.0,300899.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,6610835.0,,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-01-17 07:36:11,2025-01-17 07:36:11,2463.0,17.0,1187.0,56.0,1216.0,33.0,908.0,4050.0,2024-11-25 15:00:41,4.5.0,,3936412.0,72.0,The official router for Vue.js.,2481514.0,2481514.0,247.0,42,True,1,router,https://www.npmjs.com/package/router,3936412.0,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-01-30 16:32:23,2025-01-30 16:32:05,2077.0,49.0,1073.0,67.0,896.0,25.0,745.0,13470.0,2025-01-20 08:18:18,2.3.1,,6214109.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",320656.0,320656.0,258.0,41,True,2,pinia,https://www.npmjs.com/package/pinia,6214109.0,,
9,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2025-01-17 14:32:07,2025-01-17 14:32:07,1908.0,21.0,3907.0,586.0,1204.0,311.0,2378.0,49524.0,2024-12-27 20:28:08,1.0.3,857078.0,9851.0,21.0,Modern CSS framework based on Flexbox.,258250.0,258250.0,424.0,40,True,3,,,,,
