,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-02-27 16:51:13,2025-02-27 16:35:25,6046.0,220.0,4347.0,620.0,3446.0,79.0,3937.0,85987.0,2025-02-25 17:20:26,4.0.9,5414440.0,142485.0,100.0,A utility-first CSS framework for rapid UI development.,13375593.0,13375593.0,303.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-02-27 14:21:54,2025-02-27 14:21:53,6149.0,188.0,17662.0,206.0,7921.0,1520.0,5785.0,25231.0,2025-02-21 05:34:51,2.9.5,,1015294.0,100.0,A Vue.js 3 UI Library made by Element team.,111405.0,111405.0,720.0,44,True,1,element-plus,https://www.npmjs.com/package/element-plus,1015294.0,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-02-27 17:09:20,2025-02-27 17:09:20,14916.0,217.0,3560.0,458.0,4708.0,512.0,7406.0,26318.0,2025-02-24 11:49:48,@quasar/app-webpack-v4.1.1,,698907.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,56280.0,56280.0,760.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,698907.0,,
3,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-02-25 10:34:27,2025-02-25 10:34:13,12990.0,576.0,1358.0,90.0,1609.0,581.0,5103.0,11901.0,2025-02-24 14:03:47,4.3.0,,1297575.0,100.0,Next Generation Vue UI Component Library.,33860.0,33860.0,362.0,43,True,1,primevue,https://www.npmjs.com/package/primevue,1297575.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-02-27 01:29:39,2025-02-26 16:44:52,1638.0,31.0,10862.0,1185.0,1773.0,568.0,4198.0,106395.0,2025-02-26 09:06:55,1.8.1,,,89.0,Promise based HTTP client for the browser and node.js.,15884261.0,15884261.0,495.0,42,True,1,,,,,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9491.0,760.0,983.0,99.0,1166.0,28459.0,2021-06-17 15:52:07,4.0.2,,6886400.0,51.0,Centralized State Management for Vue.js.,1342042.0,1342042.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6886400.0,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-02-26 19:10:08,2025-02-26 19:10:02,6754.0,25.0,1271.0,189.0,2345.0,97.0,1273.0,27855.0,2025-02-24 14:52:21,@xstate/store@3.2.0,,8445339.0,100.0,Actor-based state management & orchestration for complex app logic.,309334.0,309334.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,8445339.0,,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-02-27 09:02:44,2025-02-27 09:02:44,2468.0,12.0,1208.0,55.0,1224.0,31.0,913.0,4103.0,2024-11-25 15:00:41,4.5.0,,5923242.0,72.0,The official router for Vue.js.,2507325.0,2507325.0,250.0,42,True,1,router,https://www.npmjs.com/package/router,5923242.0,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-02-24 22:14:39,2025-02-24 22:14:39,2105.0,47.0,1089.0,66.0,904.0,20.0,756.0,13591.0,2025-02-11 14:59:44,3.0.0,,7920368.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",332025.0,332025.0,261.0,41,True,2,pinia,https://www.npmjs.com/package/pinia,7920368.0,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2025-01-05 22:09:18,2024-10-31 12:57:01,5382.0,,1853.0,287.0,3684.0,171.0,3231.0,14518.0,2022-04-17 12:49:53,2.22.0,,964307.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,182299.0,182299.0,358.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,964307.0,,
10,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2025-02-05 14:05:29,2025-02-05 14:05:26,1909.0,8.0,3909.0,583.0,1204.0,313.0,2381.0,49607.0,2024-12-27 20:28:08,1.0.3,864111.0,9819.0,21.0,Modern CSS framework based on Flexbox.,259257.0,259257.0,424.0,39,True,3,,,,-1.0,
11,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2025-02-26 06:12:26,2025-02-14 18:32:33,12816.0,133.0,2634.0,275.0,6668.0,494.0,4741.0,19477.0,2025-02-14 18:33:49,3.13.1,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",189656.0,189656.0,899.0,38,True,1,,,,,
12,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2025-02-24 13:49:30,2025-02-24 13:49:29,8890.0,43.0,1711.0,93.0,3183.0,449.0,2829.0,16706.0,,,,145173.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,33301.0,33301.0,327.0,38,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,145173.0,,
13,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2025-02-17 06:30:00,2025-02-17 03:28:06,5277.0,5.0,3795.0,301.0,1898.0,130.0,5731.0,20573.0,2024-11-11 06:59:22,4.2.6,,370445.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,61390.0,61390.0,291.0,37,True,3,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,370445.0,,
14,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2025-02-27 14:13:34,2025-02-27 09:15:32,5334.0,160.0,2733.0,515.0,5504.0,958.0,4270.0,89887.0,2025-02-26 16:22:31,tauri-cli-v2.3.0,16347.0,5750.0,100.0,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",710.0,710.0,449.0,36,True,1,tauri,https://www.npmjs.com/package/tauri,1664.0,,
15,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2025-01-15 16:27:23,2025-01-15 16:27:22,4833.0,5.0,1272.0,112.0,935.0,82.0,3413.0,10941.0,2024-12-22 16:28:52,4.15.0,,,100.0,Painless Vue forms.,90650.0,90650.0,392.0,34,True,1,,,,,
16,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2025-02-26 23:51:11,2025-02-26 19:49:16,3281.0,79.0,314.0,59.0,4967.0,189.0,1021.0,987.0,2025-02-25 22:25:10,@aws-amplify/ui-react-storage@3.8.1,,75761.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",68402.0,68402.0,145.0,34,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,75761.0,,
17,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2025-02-25 10:13:55,2025-02-15 13:01:20,22419.0,69.0,204.0,24.0,724.0,2.0,154.0,792.0,2025-02-14 11:57:18,5.3.1,11641.0,145.0,95.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,40510.0,40510.0,1530.0,34,True,3,,,,,
18,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-12-23 12:52:30,2024-12-23 12:52:22,1469.0,1.0,4987.0,505.0,988.0,65.0,2791.0,18990.0,2022-09-06 10:10:34,3.6.5,,14738645.0,90.0,The official router for Vue 2.,3.0,3.0,291.0,33,True,3,vue-router,https://www.npmjs.com/package/vue-router,14738645.0,,
19,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2025-02-07 16:22:05,2025-02-07 16:22:04,2758.0,14.0,461.0,87.0,1566.0,24.0,944.0,8738.0,2025-02-04 10:55:45,@urql/next@1.1.4,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,612296.0,612296.0,267.0,33,True,2,,,,,
20,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2025-02-25 19:55:33,2025-02-25 19:06:27,3691.0,30.0,350.0,34.0,1810.0,442.0,2077.0,3583.0,2024-10-17 15:15:46,1.10.3,,11837.0,61.0,"Vuestic UI is an open-source Vue 3 component library designed for rapid development, easy maintenance, and high..",1755.0,1755.0,137.0,33,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,11837.0,,
21,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2025-02-27 17:07:18,2025-02-27 16:55:49,10321.0,132.0,1798.0,328.0,2601.0,579.0,1708.0,18543.0,2024-11-21 18:42:55,18.2.0,,,86.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,928.0,31,True,2,,,,,
22,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1585.0,257.0,142.0,83.0,453.0,10068.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,132945.0,132945.0,26.0,30,True,3,,,,,
23,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2025-02-27 13:56:08,2025-02-27 13:56:04,866.0,9.0,1096.0,163.0,764.0,99.0,1255.0,26860.0,2025-02-06 13:22:42,@headlessui/tailwindcss@v0.2.2,,,100.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",6742.0,6742.0,70.0,29,True,1,,,,,
24,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,,2014-08-18 11:54:00,2025-01-20 09:47:38,2025-01-20 09:39:42,1481.0,1.0,3448.0,771.0,340.0,19.0,1176.0,24257.0,2025-01-20 09:50:44,8.2.0,,,41.0,Bootstrap 5 & Material Design UI KIT.,13660.0,13660.0,120.0,29,True,1,,,,,
25,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2025-02-26 10:58:16,2025-02-26 10:58:13,1880.0,66.0,172.0,8.0,762.0,19.0,418.0,1144.0,2024-12-19 14:39:08,0.9.3,,4460.0,53.0,Oruga is a lightweight Vue.js UI component library without any CSS dependency.,3.0,3.0,84.0,27,True,3,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,4460.0,,
26,vuelidate,vuelidate/vuelidate,,forms,https://github.com/vuelidate/vuelidate,https://github.com/vuelidate/vuelidate,MIT,2016-11-05 14:30:37,2024-04-22 12:15:25,2023-12-22 13:21:42,670.0,,488.0,80.0,335.0,194.0,730.0,6901.0,2023-03-26 08:01:51,@vuelidate/core@2.0.1,,,49.0,"Simple, lightweight model-based validation for Vue.js.",48735.0,48735.0,92.0,25,True,2,,,,,
27,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2023-09-01 14:05:16,2025-02-26 13:25:37,2025-02-26 13:23:48,1016.0,37.0,147.0,6.0,451.0,110.0,221.0,2038.0,2025-02-12 13:47:14,7.7.2,,,72.0,Browser devtools extension for debugging Vue.js applications.,3586.0,3586.0,65.0,25,True,1,,,,-1.0,
28,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/graffle-js/graffle,https://github.com/graffle-js/graffle,MIT,2017-05-10 20:05:07,2025-02-27 02:13:28,2025-02-10 22:54:49,1027.0,37.0,302.0,34.0,821.0,30.0,413.0,5955.0,2024-11-02 01:21:31,7.1.2,,,35.0,Simple GraphQL Client for JavaScript. Minimal. Extensible. Type Safe. Runs everywhere.,22.0,22.0,92.0,24,True,3,,,,,graffle-js/graffle
29,formkit,formkit/formkit,,forms,https://github.com/formkit/formkit,https://github.com/formkit/formkit,MIT,2021-06-02 21:35:19,2024-11-15 13:05:56,2024-11-15 13:05:36,2045.0,,188.0,34.0,303.0,165.0,935.0,4408.0,2024-11-13 13:33:14,1.6.8,,,49.0,Vue Forms Supercharged.,130.0,130.0,62.0,24,True,3,,,,,
30,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,146.0,34.0,271.0,106.0,145.0,934.0,2020-06-03 22:45:05,0.11.0,,6017.0,29.0,Semantic UI integration for Vue.,1866.0,1866.0,71.0,24,True,3,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,6017.0,,
31,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2025-01-08 10:38:12,2025-01-08 10:38:12,661.0,11.0,131.0,15.0,54.0,2.0,221.0,625.0,2024-10-29 11:46:28,5.4.1,,,100.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,3921.0,3921.0,9.0,24,True,2,,,,,
32,graphql-hooks,nearform/graphql-hooks,"['vue2', 'vue3']",graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2025-02-24 21:23:16,2025-01-08 18:45:43,816.0,11.0,92.0,138.0,984.0,,249.0,1887.0,2025-01-08 18:45:52,graphql-hooks-full-ws-transport-example@3.1.1,,,100.0,Minimal hooks-first GraphQL client.,1204.0,1204.0,97.0,23,True,3,,,,,
33,flowbite-vue,themesberg/flowbite-vue,['tailwind'],components,https://github.com/themesberg/flowbite-vue,https://github.com/themesberg/flowbite-vue,MIT,2022-06-02 08:04:40,2025-02-21 09:17:13,2025-02-21 09:17:13,510.0,29.0,127.0,14.0,187.0,38.0,113.0,824.0,2025-02-21 01:01:16,0.1.9,,,6.0,Official Vue 3 components built for Flowbite and Tailwind CSS.,2555.0,2555.0,50.0,23,True,3,,,,,
34,vuex-orm,vuex-orm/vuex-orm,['vue3'],state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334.0,,160.0,37.0,257.0,127.0,416.0,2348.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,37.0,37.0,62.0,22,True,2,,,,,
35,villus,logaretm/villus,"['vue2', 'vue3']",graphql-clients,https://github.com/logaretm/villus,https://github.com/logaretm/villus,MIT,2019-12-22 20:52:31,2025-01-20 17:17:40,2025-01-20 17:17:37,667.0,18.0,32.0,9.0,74.0,15.0,127.0,806.0,2025-01-20 17:15:41,3.5.2,,,70.0,A tiny and fast GraphQL client for Vue.js.,233.0,233.0,25.0,22,True,3,,,,,
36,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2025-01-09 19:10:52,2025-01-09 19:10:52,1043.0,3.0,502.0,107.0,471.0,262.0,680.0,6039.0,2024-08-23 09:42:42,4.2.1,,,94.0,Apollo/GraphQL integration for VueJS.,3.0,3.0,143.0,21,True,1,,,,,
37,coreui-free-vue-admin-template,coreui/coreui-free-vue-admin-template,"['vue3', 'bootstrap5', 'coreui']",admin-dashboards,https://github.com/coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,MIT,2017-08-15 09:29:16,2025-02-14 12:57:03,2025-02-14 12:56:35,528.0,9.0,968.0,121.0,90.0,,206.0,3333.0,2025-02-14 12:57:03,5.3.0,,,65.0,Open source admin template based on Bootstrap 5 and Vue 3.,,,13.0,20,True,1,,,,,
