,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-12-05 17:55:09,2024-12-05 15:18:06,5838.0,362.0,4197.0,615.0,3214.0,70.0,3498.0,83710.0,2024-12-03 19:41:05,3.4.16,4649854.0,119227.0,100.0,A utility-first CSS framework for rapid UI development.,12126894.0,12126894.0,293.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-12-05 13:16:10,2024-12-05 13:16:10,5973.0,214.0,16864.0,202.0,7519.0,1470.0,5604.0,24711.0,2024-11-29 15:06:49,2.9.0,,1018865.0,100.0,A Vue.js 3 UI Library made by Element team.,103844.0,103844.0,693.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,1018865.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-12-05 13:09:17,2024-12-05 13:09:13,12426.0,1359.0,1243.0,84.0,1490.0,576.0,4813.0,10965.0,2024-11-28 06:54:12,4.2.4,,1246297.0,100.0,Next Generation Vue UI Component Library.,30503.0,30503.0,329.0,44,True,1,primevue,https://www.npmjs.com/package/primevue,1246297.0,,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-12-05 14:44:34,2024-12-05 14:19:13,14762.0,395.0,3523.0,459.0,4678.0,499.0,7348.0,26035.0,2024-12-05 14:26:29,@quasar/extras-v1.16.15,,686064.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,54316.0,54316.0,751.0,43,True,2,quasar,https://www.npmjs.com/package/quasar,686064.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-12-05 14:27:34,2024-12-05 14:27:34,1610.0,39.0,10805.0,1187.0,1737.0,547.0,4183.0,105921.0,2024-12-04 07:38:11,1.7.9,,,87.0,Promise based HTTP client for the browser and node.js.,15025722.0,15025722.0,481.0,42,True,1,,,,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-12-05 15:25:57,2024-12-05 15:24:21,6731.0,29.0,1248.0,192.0,2323.0,89.0,1263.0,27264.0,2024-12-05 15:25:58,@xstate/store@2.6.2,,7142130.0,100.0,Actor-based state management & orchestration for complex app logic.,286843.0,286843.0,364.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,7142130.0,,
6,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-12-05 10:24:44,2024-12-05 08:53:04,2457.0,31.0,1182.0,57.0,1207.0,31.0,900.0,3969.0,2024-11-25 15:00:41,4.5.0,,3954929.0,72.0,The official router for Vue.js.,2435956.0,2435956.0,243.0,42,True,1,router,https://www.npmjs.com/package/router,3954929.0,,
7,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,1.0,9500.0,760.0,981.0,98.0,1166.0,28427.0,2021-06-17 15:52:07,4.0.2,,6976030.0,51.0,Centralized State Management for Vue.js.,1329310.0,1329310.0,336.0,41,True,1,vuex,https://www.npmjs.com/package/vuex,6976030.0,-1.0,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-12-05 15:18:47,2024-12-05 15:18:44,1904.0,28.0,3910.0,588.0,1200.0,300.0,2376.0,49423.0,2024-07-25 15:02:20,1.0.2,844898.0,9824.0,20.0,Modern CSS framework based on Flexbox.,256553.0,256553.0,423.0,40,True,3,,,,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-10-31 12:57:04,2024-10-31 12:57:01,5382.0,6.0,1855.0,286.0,3683.0,170.0,3231.0,14514.0,2022-04-17 12:49:53,2.22.0,,1134531.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,180899.0,180899.0,358.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1134531.0,,
