,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-03-27 16:30:07,2025-03-27 11:43:02,6142.0,280.0,4403.0,620.0,3541.0,79.0,4099.0,86670.0,2025-03-26 10:14:26,4.0.17,5715882.0,150417.0,100.0,A utility-first CSS framework for rapid UI development.,13871934.0,13871934.0,308.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-03-27 10:19:04,2025-03-27 10:19:03,6210.0,194.0,17941.0,207.0,8028.0,1547.0,5858.0,25451.0,2025-03-21 05:35:06,2.9.7,,1211818.0,100.0,A Vue.js 3 UI Library made by Element team.,115084.0,115084.0,736.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,1211818.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-03-27 11:49:38,2025-03-27 11:49:38,13433.0,920.0,1399.0,90.0,1660.0,576.0,5250.0,12186.0,2025-03-26 15:20:32,4.3.3,,1417354.0,100.0,Next Generation Vue UI Component Library.,35178.0,35178.0,379.0,44,True,1,primevue,https://www.npmjs.com/package/primevue,1417354.0,1.0,
3,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-03-21 11:05:16,2025-03-21 11:05:16,2117.0,53.0,1100.0,66.0,915.0,20.0,768.0,13719.0,2025-02-11 14:59:44,3.0.0,,8533949.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",344953.0,344953.0,265.0,43,True,1,pinia,https://www.npmjs.com/package/pinia,8533949.0,1.0,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-03-26 17:51:16,2025-03-26 15:19:58,1651.0,36.0,10912.0,1184.0,1799.0,569.0,4222.0,106582.0,2025-03-26 17:51:16,0.30.0,,,93.0,Promise based HTTP client for the browser and node.js.,16234351.0,16234351.0,499.0,42,True,1,,,,,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9495.0,760.0,983.0,99.0,1167.0,28454.0,2021-06-17 15:52:07,4.0.2,,7345660.0,51.0,Centralized State Management for Vue.js.,1347148.0,1347148.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7345660.0,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-03-27 11:39:10,2025-03-21 21:37:07,6766.0,31.0,1284.0,188.0,2357.0,101.0,1275.0,28007.0,2025-03-21 21:38:38,@xstate/store@3.4.1,,8799526.0,100.0,Actor-based state management & orchestration for complex app logic.,314888.0,314888.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,8799526.0,,
7,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-03-25 08:10:32,2025-03-25 08:08:06,14965.0,150.0,3564.0,459.0,4717.0,522.0,7425.0,26402.0,2025-03-25 08:10:32,@quasar/app-webpack-v4.2.0,,728219.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,57031.0,57031.0,762.0,42,True,2,quasar,https://www.npmjs.com/package/quasar,728219.0,,
8,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-03-21 11:05:49,2025-03-21 11:05:49,2473.0,14.0,1212.0,54.0,1230.0,31.0,917.0,4164.0,2024-11-25 15:00:41,4.5.0,,7797103.0,72.0,The official router for Vue.js.,2537064.0,2537064.0,251.0,42,True,1,router,https://www.npmjs.com/package/router,7797103.0,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2025-03-26 07:50:22,2025-03-26 07:50:22,5421.0,39.0,1857.0,284.0,3702.0,171.0,3233.0,14517.0,2022-04-17 12:49:53,2.22.0,,941544.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,182762.0,182762.0,362.0,41,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,941544.0,,
