,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-01-23 15:15:18,2025-01-21 20:58:59,5916.0,250.0,4260.0,624.0,3314.0,84.0,3590.0,84799.0,2025-01-22 23:59:53,4.0.0,5038387.0,125959.0,100.0,A utility-first CSS framework for rapid UI development.,12800468.0,12800468.0,294.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-01-23 12:15:12,2025-01-23 12:15:12,6084.0,229.0,17405.0,204.0,7823.0,1508.0,5724.0,25046.0,2025-01-10 14:22:10,2.9.3,,797328.0,100.0,A Vue.js 3 UI Library made by Element team.,108398.0,108398.0,712.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,797328.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-01-23 08:51:49,2025-01-23 08:51:46,12774.0,859.0,1289.0,88.0,1551.0,527.0,5009.0,11508.0,2024-12-12 09:38:23,4.2.5,,962610.0,100.0,Next Generation Vue UI Component Library.,32400.0,32400.0,348.0,44,True,1,primevue,https://www.npmjs.com/package/primevue,962610.0,,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-01-22 08:54:19,2025-01-22 08:54:18,14877.0,421.0,3541.0,458.0,4696.0,500.0,7383.0,26166.0,2025-01-21 15:56:45,@quasar-extras-v1.16.16,,535926.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,55381.0,55381.0,753.0,43,True,2,quasar,https://www.npmjs.com/package/quasar,535926.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-01-10 02:57:40,2025-01-10 02:57:40,1617.0,34.0,10839.0,1186.0,1752.0,561.0,4189.0,106196.0,2024-12-04 07:38:11,1.7.9,,,87.0,Promise based HTTP client for the browser and node.js.,15485038.0,15485038.0,481.0,42,True,1,,,,,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9490.0,760.0,983.0,99.0,1166.0,28435.0,2021-06-17 15:52:07,4.0.2,,5136971.0,51.0,Centralized State Management for Vue.js.,1337045.0,1337045.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,5136971.0,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-01-23 02:14:09,2025-01-12 18:43:27,6738.0,16.0,1267.0,190.0,2332.0,92.0,1268.0,27660.0,2025-01-12 18:45:17,@xstate/solid@1.0.2,,5861515.0,100.0,Actor-based state management & orchestration for complex app logic.,298604.0,298604.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,5861515.0,,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-01-17 07:36:11,2025-01-17 07:36:11,2463.0,19.0,1187.0,57.0,1215.0,34.0,904.0,4045.0,2024-11-25 15:00:41,4.5.0,,3405346.0,72.0,The official router for Vue.js.,2476125.0,2476125.0,247.0,42,True,1,router,https://www.npmjs.com/package/router,3405346.0,1.0,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-01-20 08:18:10,2025-01-20 08:18:03,2074.0,53.0,1070.0,67.0,895.0,26.0,738.0,13447.0,2025-01-20 08:18:18,2.3.1,,5571116.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",318426.0,318426.0,258.0,41,True,2,pinia,https://www.npmjs.com/package/pinia,5571116.0,,
9,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2025-01-17 14:32:07,2025-01-17 14:32:07,1908.0,22.0,3908.0,586.0,1204.0,311.0,2378.0,49512.0,2024-12-27 20:28:08,1.0.3,855418.0,9832.0,21.0,Modern CSS framework based on Flexbox.,258019.0,258019.0,424.0,40,True,3,,,,,
