,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-01-09 17:21:04,2025-01-09 17:04:34,5888.0,297.0,4227.0,622.0,3278.0,69.0,3564.0,84399.0,2024-12-17 19:34:59,3.4.17,4909463.0,122736.0,100.0,A utility-first CSS framework for rapid UI development.,12594133.0,12594133.0,294.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-01-09 11:39:47,2025-01-09 11:39:46,6045.0,211.0,17278.0,204.0,7768.0,1498.0,5693.0,24970.0,2025-01-03 13:18:13,2.9.2,,722864.0,100.0,A Vue.js 3 UI Library made by Element team.,107176.0,107176.0,705.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,722864.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-01-09 12:13:27,2025-01-09 12:13:27,12594.0,925.0,1279.0,86.0,1528.0,546.0,4944.0,11327.0,2024-12-12 09:38:23,4.2.5,,910846.0,100.0,Next Generation Vue UI Component Library.,31811.0,31811.0,345.0,44,True,1,primevue,https://www.npmjs.com/package/primevue,910846.0,,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-01-03 11:54:41,2025-01-03 11:52:30,14826.0,399.0,3532.0,458.0,4686.0,507.0,7366.0,26134.0,2025-01-03 11:54:41,quasar-v2.17.6,,513023.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,55047.0,55047.0,753.0,43,True,2,quasar,https://www.npmjs.com/package/quasar,513023.0,,
4,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-12-31 12:03:13,2024-12-31 12:03:13,1616.0,35.0,10833.0,1187.0,1747.0,553.0,4188.0,106113.0,2024-12-04 07:38:11,1.7.9,,,87.0,Promise based HTTP client for the browser and node.js.,15344248.0,15344248.0,481.0,42,True,1,,,,,
5,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9492.0,760.0,982.0,98.0,1166.0,28438.0,2021-06-17 15:52:07,4.0.2,,5104876.0,51.0,Centralized State Management for Vue.js.,1334967.0,1334967.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,5104876.0,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-01-05 21:56:08,2025-01-05 21:56:08,6736.0,16.0,1263.0,191.0,2329.0,93.0,1266.0,27596.0,2024-12-24 19:14:05,@xstate/vue@4.0.1,,5554376.0,100.0,Actor-based state management & orchestration for complex app logic.,293722.0,293722.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,5554376.0,,
7,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-01-07 13:33:55,2025-01-07 13:33:52,2067.0,52.0,1066.0,68.0,892.0,27.0,734.0,13395.0,2024-12-05 18:07:25,2.3.0,,5433627.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",313458.0,313458.0,257.0,41,True,2,pinia,https://www.npmjs.com/package/pinia,5433627.0,,
8,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-01-09 14:48:15,2025-01-07 13:47:27,2462.0,22.0,1185.0,57.0,1214.0,31.0,903.0,4026.0,2024-11-25 15:00:41,4.5.0,,3211992.0,72.0,The official router for Vue.js.,2464154.0,2464154.0,246.0,41,True,1,router,https://www.npmjs.com/package/router,3211992.0,-1.0,
9,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-12-27 20:28:08,2024-12-27 20:25:24,1905.0,21.0,3904.0,587.0,1202.0,306.0,2377.0,49471.0,2024-12-27 20:28:08,1.0.3,852220.0,9795.0,21.0,Modern CSS framework based on Flexbox.,257618.0,257618.0,423.0,40,True,3,,,,,
