,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-12-12 13:51:47,2024-12-12 12:58:56,5849.0,362.0,4206.0,615.0,3226.0,69.0,3515.0,83859.0,2024-12-03 19:41:05,3.4.16,4715678.0,120914.0,100.0,A utility-first CSS framework for rapid UI development.,12229416.0,12229416.0,293.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-12-12 13:25:26,2024-12-12 13:25:25,5987.0,206.0,16937.0,202.0,7548.0,1482.0,5626.0,24771.0,2024-11-29 15:06:49,2.9.0,,969662.0,100.0,A Vue.js 3 UI Library made by Element team.,104497.0,104497.0,697.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,969662.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-12-12 09:38:23,2024-12-12 09:36:44,12446.0,1330.0,1252.0,84.0,1496.0,563.0,4850.0,11022.0,2024-12-12 09:38:23,4.2.5,,1234973.0,100.0,Next Generation Vue UI Component Library.,30807.0,30807.0,331.0,44,True,1,primevue,https://www.npmjs.com/package/primevue,1234973.0,,
3,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-12-06 09:30:18,2024-12-06 09:30:15,1611.0,40.0,10805.0,1187.0,1738.0,550.0,4185.0,105958.0,2024-12-04 07:38:11,1.7.9,,,87.0,Promise based HTTP client for the browser and node.js.,15096192.0,15096192.0,481.0,42,True,1,,,,,
4,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-12-05 15:25:57,2024-12-05 15:24:21,6731.0,26.0,1251.0,192.0,2324.0,88.0,1265.0,27285.0,2024-12-05 15:25:58,@xstate/store@2.6.2,,7249773.0,100.0,Actor-based state management & orchestration for complex app logic.,287951.0,287951.0,364.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,7249773.0,,
5,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-12-10 13:41:33,2024-12-10 08:11:58,2458.0,19.0,1183.0,58.0,1208.0,31.0,902.0,3987.0,2024-11-25 15:00:41,4.5.0,,4066375.0,72.0,The official router for Vue.js.,2442375.0,2442375.0,244.0,42,True,1,router,https://www.npmjs.com/package/router,4066375.0,,
6,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,1.0,9500.0,760.0,982.0,98.0,1166.0,28430.0,2021-06-17 15:52:07,4.0.2,,6951482.0,51.0,Centralized State Management for Vue.js.,1330733.0,1330733.0,336.0,41,True,1,vuex,https://www.npmjs.com/package/vuex,6951482.0,,
7,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2024-12-05 18:02:16,2024-12-05 18:02:16,2064.0,75.0,1061.0,68.0,884.0,24.0,727.0,13294.0,2024-12-05 18:07:25,2.3.0,,7175146.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",304497.0,304497.0,255.0,41,True,1,pinia,https://www.npmjs.com/package/pinia,7175146.0,1.0,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-12-05 15:18:47,2024-12-05 15:18:44,1904.0,26.0,3905.0,589.0,1200.0,301.0,2376.0,49441.0,2024-07-25 15:02:20,1.0.2,846581.0,9843.0,20.0,Modern CSS framework based on Flexbox.,256786.0,256786.0,423.0,40,True,3,,,,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-10-31 12:57:04,2024-10-31 12:57:01,5382.0,6.0,1856.0,286.0,3683.0,171.0,3231.0,14515.0,2022-04-17 12:49:53,2.22.0,,1102305.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,181011.0,181011.0,358.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1102305.0,,
