,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
28,vuelidate,vuelidate/vuelidate,,forms,https://github.com/vuelidate/vuelidate,https://github.com/vuelidate/vuelidate,MIT,2016-11-05 14:30:37,2024-04-22 12:15:25,2023-12-22 13:21:42,670,,490.0,80,335.0,194.0,730.0,6899.0,2023-03-26 08:01:51,@vuelidate/core@2.0.1,,,49.0,"Simple, lightweight model-based validation for Vue.js.",48713.0,48713.0,92.0,,,25,True,2,,,
29,graphql-request,prisma-labs/graphql-request,,graphql-clients,https://github.com/graffle-js/graffle,https://github.com/graffle-js/graffle,MIT,2017-05-10 20:05:07,2025-02-18 17:13:09,2025-02-10 22:54:49,1027,38.0,302.0,35,821.0,29.0,413.0,5949.0,2024-11-02 01:21:31,7.1.2,,,35.0,Simple GraphQL Client for JavaScript. Minimal. Extensible. Type Safe. Runs everywhere.,22.0,22.0,92.0,,,24,True,3,-1.0,"['vue2', 'vue3']",graffle-js/graffle
30,formkit,formkit/formkit,,forms,https://github.com/formkit/formkit,https://github.com/formkit/formkit,MIT,2021-06-02 21:35:19,2024-11-15 13:05:56,2024-11-15 13:05:36,2045,,187.0,34,302.0,160.0,935.0,4401.0,2024-11-13 13:33:14,1.6.8,,,49.0,Vue Forms Supercharged.,130.0,130.0,62.0,,,24,True,3,,,
31,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,semantic-ui-vue,ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562,,146.0,34,271.0,106.0,145.0,934.0,2020-06-03 22:45:05,0.11.0,,5983.0,29.0,Semantic UI integration for Vue.,1866.0,1866.0,71.0,https://www.npmjs.com/package/semantic-ui-vue,5983.0,24,True,3,,"['vue3', 'javascript']",
32,CoreUI Components,coreui/coreui-vue,,components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2025-01-08 10:38:12,2025-01-08 10:38:12,661,11.0,131.0,15,54.0,2.0,221.0,624.0,2024-10-29 11:46:28,5.4.1,,,100.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,3916.0,3916.0,9.0,,,24,True,2,,['coreui'],
33,graphql-hooks,nearform/graphql-hooks,,graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2025-02-17 22:02:37,2025-01-08 18:45:43,816,11.0,92.0,137,982.0,,249.0,1886.0,2025-01-08 18:45:52,graphql-hooks-full-ws-transport-example@3.1.1,,,100.0,Minimal hooks-first GraphQL client.,1200.0,1200.0,97.0,,,23,True,3,,"['vue2', 'vue3']",
34,flowbite-vue,themesberg/flowbite-vue,,components,https://github.com/themesberg/flowbite-vue,https://github.com/themesberg/flowbite-vue,MIT,2022-06-02 08:04:40,2025-02-19 10:20:40,2025-02-19 10:20:38,506,25.0,127.0,14,183.0,39.0,112.0,820.0,2025-01-21 10:33:07,0.1.7,,,4.0,Official Vue 3 components built for Flowbite and Tailwind CSS.,2533.0,2533.0,50.0,,,23,True,3,,['tailwind'],
35,vuex-orm,vuex-orm/vuex-orm,,state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334,,161.0,37,257.0,127.0,416.0,2349.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,37.0,37.0,62.0,,,22,True,2,,['vue3'],
36,villus,logaretm/villus,,graphql-clients,https://github.com/logaretm/villus,https://github.com/logaretm/villus,MIT,2019-12-22 20:52:31,2025-01-20 17:17:40,2025-01-20 17:17:37,667,18.0,32.0,9,74.0,15.0,127.0,804.0,2025-01-20 17:15:41,3.5.2,,,70.0,A tiny and fast GraphQL client for Vue.js.,232.0,232.0,25.0,,,22,True,3,,"['vue2', 'vue3']",
37,Appolo Client integration,vuejs/apollo,,graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2025-01-09 19:10:52,2025-01-09 19:10:52,1043,3.0,503.0,107,470.0,262.0,680.0,6040.0,2024-08-23 09:42:42,4.2.1,,,94.0,Apollo/GraphQL integration for VueJS.,3.0,3.0,143.0,,,21,True,1,,"['vue2', 'vue3', 'appolo']",
