,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-11-07 18:05:19,2024-11-07 15:48:49,5708.0,296.0,4161.0,615.0,3060.0,55.0,3407.0,82925.0,2024-10-15 10:37:43,3.4.14,4400279.0,102332.0,100.0,A utility-first CSS framework for rapid UI development.,11709276.0,11709276.0,292.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-11-07 13:57:40,2024-11-07 13:57:38,5894.0,218.0,16480.0,200.0,7518.0,1446.0,5532.0,24504.0,2024-11-01 15:10:23,2.8.7,,1187217.0,100.0,A Vue.js 3 UI Library made by Element team.,101198.0,101198.0,686.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,1187217.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-11-07 13:27:23,2024-11-07 13:27:19,12165.0,1192.0,1216.0,86.0,1447.0,635.0,4613.0,10486.0,2024-11-01 22:10:07,4.2.1,,1217857.0,100.0,Next Generation Vue UI Component Library.,29208.0,29208.0,314.0,44,True,1,primevue,https://www.npmjs.com/package/primevue,1217857.0,,
3,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-11-07 01:29:31,2024-11-06 01:47:34,1591.0,46.0,10787.0,1187.0,1716.0,541.0,4172.0,105716.0,2024-08-31 22:02:04,1.7.7,,,84.0,Promise based HTTP client for the browser and node.js.,14737683.0,14737683.0,473.0,43,True,1,,,,1.0,
4,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-11-04 13:04:24,2024-10-28 13:55:54,6723.0,44.0,1243.0,192.0,2317.0,88.0,1260.0,27134.0,2024-10-17 11:49:55,@xstate/solid@0.2.3,,6940308.0,100.0,Actor-based state management & orchestration for complex app logic.,281733.0,281733.0,364.0,43,True,1,xstate,https://www.npmjs.com/package/xstate,6940308.0,,
5,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-11-07 17:44:34,2024-11-07 17:44:17,14540.0,218.0,3500.0,460.0,4669.0,492.0,7330.0,25941.0,2024-11-06 15:05:49,quasar-v2.17.2,,603923.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,53408.0,53408.0,747.0,43,True,2,quasar,https://www.npmjs.com/package/quasar,603923.0,1.0,
6,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,1.0,9503.0,759.0,981.0,98.0,1166.0,28423.0,2021-06-17 15:52:07,4.0.2,,6648582.0,51.0,Centralized State Management for Vue.js.,1324145.0,1324145.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6648582.0,,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-10-29 16:27:13,2024-10-29 16:26:22,2446.0,24.0,1177.0,57.0,1203.0,30.0,893.0,3926.0,2024-09-13 06:46:46,4.4.5,,3398658.0,71.0,The official router for Vue.js.,2408889.0,2408889.0,241.0,42,True,1,router,https://www.npmjs.com/package/router,3398658.0,,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-11-07 14:48:49,2024-11-07 14:48:46,1891.0,18.0,3912.0,590.0,1197.0,297.0,2370.0,49351.0,2024-07-25 15:02:20,1.0.2,837526.0,9853.0,20.0,Modern CSS framework based on Flexbox.,255419.0,255419.0,419.0,40,True,3,,,,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-10-31 12:57:04,2024-10-31 12:57:01,5382.0,6.0,1852.0,288.0,3681.0,168.0,3232.0,14520.0,2022-04-17 12:49:53,2.22.0,,1131978.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,180325.0,180325.0,358.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1131978.0,,
