,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
19,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2025-03-03 21:14:07,2025-03-03 21:12:08,2760.0,12.0,462.0,85.0,1569.0,27.0,945.0,8758.0,2025-03-03 21:15:02,@urql/vue@1.4.3,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,633410.0,633410.0,267.0,33,True,2,,,,,
20,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2025-03-11 19:00:11,2025-03-11 19:00:11,3692.0,31.0,353.0,33.0,1812.0,443.0,2077.0,3598.0,2024-10-17 15:15:46,1.10.3,,14564.0,61.0,"Vuestic UI is an open-source Vue 3 component library designed for rapid development, easy maintenance, and high..",1777.0,1777.0,137.0,33,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,14564.0,,
21,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2025-03-20 15:53:13,2025-03-20 15:37:07,10354.0,129.0,1803.0,328.0,2615.0,582.0,1710.0,18564.0,2024-11-21 18:42:55,18.2.0,,,86.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,933.0,31,True,2,,,,,
22,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1584.0,256.0,142.0,83.0,453.0,10064.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,133143.0,133143.0,26.0,30,True,3,,,,,
23,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,,2014-08-18 11:54:00,2025-01-20 09:47:38,2025-01-20 09:39:42,1481.0,1.0,3451.0,771.0,340.0,19.0,1176.0,24260.0,2025-01-20 09:50:44,8.2.0,,,41.0,Bootstrap 5 & Material Design UI KIT.,13745.0,13745.0,120.0,29,True,1,,,,,
24,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2025-03-20 17:48:07,2025-03-20 17:48:05,1931.0,103.0,172.0,7.0,811.0,16.0,425.0,1148.0,2025-03-17 10:01:57,0.10.2,,4866.0,59.0,Oruga is a lightweight Vue.js UI component library without any CSS dependency.,3.0,3.0,84.0,27,True,3,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,4866.0,,
25,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2023-09-01 14:05:16,2025-03-20 11:15:22,2025-03-15 07:04:42,1019.0,32.0,154.0,7.0,458.0,117.0,222.0,2136.0,2025-02-12 13:47:14,7.7.2,,,72.0,Browser devtools extension for debugging Vue.js applications.,3625.0,3625.0,65.0,26,True,1,,,,,
26,vuelidate,vuelidate/vuelidate,,forms,https://github.com/vuelidate/vuelidate,https://github.com/vuelidate/vuelidate,MIT,2016-11-05 14:30:37,2024-04-22 12:15:25,2023-12-22 13:21:42,670.0,,486.0,79.0,335.0,195.0,729.0,6900.0,2023-03-26 08:01:51,@vuelidate/core@2.0.1,,,49.0,"Simple, lightweight model-based validation for Vue.js.",48822.0,48822.0,92.0,25,True,2,,,,,
27,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2025-02-27 13:56:08,2025-02-27 13:56:04,866.0,6.0,1100.0,162.0,764.0,99.0,1257.0,26996.0,2025-02-06 13:22:42,@headlessui/tailwindcss@v0.2.2,,,100.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",,,70.0,24,True,1,,,,-6.0,
28,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/graffle-js/graffle,https://github.com/graffle-js/graffle,MIT,2017-05-10 20:05:07,2025-03-08 17:13:40,2025-02-10 22:54:49,1027.0,26.0,299.0,34.0,821.0,32.0,413.0,5965.0,2024-11-02 01:21:31,7.1.2,,,35.0,Simple GraphQL Client for JavaScript. Minimal. Extensible. Type Safe. Runs everywhere.,27.0,27.0,91.0,24,True,3,,,,,graffle-js/graffle
29,formkit,formkit/formkit,,forms,https://github.com/formkit/formkit,https://github.com/formkit/formkit,MIT,2021-06-02 21:35:19,2024-11-15 13:05:56,2024-11-15 13:05:36,2045.0,,189.0,34.0,304.0,166.0,937.0,4422.0,2024-11-13 13:33:14,1.6.8,,,49.0,Vue Forms Supercharged.,135.0,135.0,62.0,24,True,3,,,,,
30,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,146.0,33.0,271.0,106.0,145.0,928.0,2020-06-03 22:45:05,0.11.0,,5434.0,29.0,Semantic UI integration for Vue.,1870.0,1870.0,71.0,24,True,3,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,5434.0,,
31,flowbite-vue,themesberg/flowbite-vue,['tailwind'],components,https://github.com/themesberg/flowbite-vue,https://github.com/themesberg/flowbite-vue,MIT,2022-06-02 08:04:40,2025-03-19 21:54:36,2025-03-19 21:54:34,541.0,49.0,127.0,14.0,190.0,38.0,113.0,837.0,2025-03-19 22:08:02,0.2.0,,,7.0,Official Vue 3 components built for Flowbite and Tailwind CSS.,2595.0,2595.0,52.0,24,True,1,,,,,
32,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2025-01-08 10:38:12,2025-01-08 10:38:12,661.0,11.0,130.0,14.0,54.0,2.0,221.0,626.0,2024-10-29 11:46:28,5.4.1,,,100.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,3943.0,3943.0,9.0,24,True,1,,,,,
33,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2025-03-11 13:31:17,2025-03-11 13:31:15,1052.0,12.0,502.0,106.0,471.0,262.0,680.0,6045.0,2025-03-11 13:31:28,4.2.2,,,95.0,Apollo/GraphQL integration for VueJS.,3.0,3.0,144.0,23,True,1,,,,,
34,vuex-orm,vuex-orm/vuex-orm,['vue3'],state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334.0,,161.0,36.0,259.0,127.0,416.0,2345.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,37.0,37.0,62.0,22,True,2,,,,,
35,graphql-hooks,nearform/graphql-hooks,"['vue2', 'vue3']",graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2025-03-10 21:29:06,2025-01-08 18:45:43,816.0,6.0,92.0,136.0,986.0,,249.0,1889.0,2025-01-08 18:45:52,graphql-hooks-full-ws-transport-example@3.1.1,,,100.0,Minimal hooks-first GraphQL client.,1207.0,1207.0,97.0,22,True,3,,,,-1.0,
36,villus,logaretm/villus,"['vue2', 'vue3']",graphql-clients,https://github.com/logaretm/villus,https://github.com/logaretm/villus,MIT,2019-12-22 20:52:31,2025-01-20 17:17:40,2025-01-20 17:17:37,667.0,18.0,33.0,8.0,75.0,15.0,128.0,810.0,2025-01-20 17:15:41,3.5.2,,,70.0,A tiny and fast GraphQL client for Vue.js.,235.0,235.0,25.0,22,True,3,,,,,
