,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-05-08 16:46:29,2025-05-08 16:46:27,6243.0,263.0,4475.0,623.0,3652.0,74.0,4256.0,87656.0,2025-04-30 15:45:21,4.1.5,6076461.0,151911.0,100.0,A utility-first CSS framework for rapid UI development.,14661327.0,14661327.0,308.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-05-08 16:38:27,2025-05-08 03:00:55,6304.0,202.0,18318.0,211.0,8149.0,1542.0,6003.0,25724.0,2025-04-27 11:12:28,2.9.9,,1222484.0,100.0,A Vue.js 3 UI Library made by Element team.,120379.0,120379.0,744.0,45,True,1,element-plus,https://www.npmjs.com/package/element-plus,1222484.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-05-08 08:51:42,2025-05-08 08:51:39,13567.0,713.0,1451.0,93.0,1704.0,584.0,5355.0,12565.0,2025-05-07 09:13:25,4.3.4,,1328271.0,100.0,Next Generation Vue UI Component Library.,37132.0,37132.0,395.0,43,True,1,primevue,https://www.npmjs.com/package/primevue,1328271.0,,
3,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-05-07 01:30:19,2025-04-26 16:42:56,1669.0,38.0,10980.0,1180.0,1827.0,575.0,4235.0,106807.0,2025-04-24 20:18:54,1.9.0,,,94.0,Promise based HTTP client for the browser and node.js.,16793568.0,16793568.0,502.0,42,True,1,,,,,
4,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9492.0,759.0,985.0,99.0,1167.0,28459.0,2021-06-17 15:52:07,4.0.2,,6859138.0,51.0,Centralized State Management for Vue.js.,1353914.0,1353914.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6859138.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-05-07 11:17:54,2025-05-07 11:17:52,6777.0,33.0,1292.0,190.0,2371.0,102.0,1278.0,28187.0,2025-04-20 16:12:00,@xstate/store@3.5.1,,8234230.0,100.0,Actor-based state management & orchestration for complex app logic.,322851.0,322851.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,8234230.0,,
6,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-05-07 10:27:47,2025-05-07 10:27:47,14982.0,105.0,3583.0,459.0,4731.0,532.0,7439.0,26552.0,2025-03-25 08:10:32,@quasar/app-webpack-v4.2.0,,651159.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,58044.0,58044.0,766.0,42,True,2,quasar,https://www.npmjs.com/package/quasar,651159.0,,
7,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-05-07 17:04:32,2025-05-07 17:04:29,2127.0,41.0,1124.0,65.0,926.0,21.0,773.0,13851.0,2025-04-09 14:23:25,3.0.2,,8042892.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",364121.0,364121.0,270.0,42,True,1,pinia,https://www.npmjs.com/package/pinia,8042892.0,-1.0,
8,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-05-08 08:56:57,2025-05-08 08:56:55,2492.0,28.0,1218.0,52.0,1235.0,31.0,923.0,4220.0,2025-04-25 13:03:13,4.5.1,,18248199.0,73.0,The official router for Vue.js.,2579072.0,2579072.0,259.0,42,True,1,router,https://www.npmjs.com/package/router,18248199.0,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2025-03-31 06:43:28,2025-03-31 06:43:28,5424.0,17.0,1854.0,284.0,3706.0,174.0,3233.0,14516.0,2022-04-17 12:49:53,2.22.0,,895188.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,183360.0,183360.0,364.0,41,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,895188.0,,
10,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2025-04-24 14:43:51,2025-04-24 14:43:48,1937.0,20.0,3906.0,582.0,1202.0,315.0,2391.0,49753.0,2025-04-19 14:02:58,1.0.4,878541.0,9654.0,22.0,Modern CSS framework based on Flexbox.,261782.0,261782.0,427.0,40,True,3,,,,,
11,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2025-05-08 17:14:40,2025-05-07 16:36:03,12851.0,46.0,2644.0,271.0,6818.0,479.0,4823.0,19568.0,2025-04-17 16:40:01,3.13.8,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",191389.0,191389.0,905.0,38,True,1,,,,,
12,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2025-05-08 17:01:32,2025-05-07 21:00:24,5497.0,189.0,2825.0,522.0,5707.0,1041.0,4447.0,92259.0,2025-04-21 04:21:17,tauri-v2.5.1,28926.0,9153.0,100.0,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",744.0,744.0,473.0,37,True,1,tauri,https://www.npmjs.com/package/tauri,1922.0,,
13,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2025-05-07 16:14:27,2025-03-06 06:37:19,5279.0,4.0,3809.0,301.0,1922.0,160.0,5792.0,20782.0,2024-11-11 06:59:22,4.2.6,,359186.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,63481.0,63481.0,292.0,36,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,359186.0,,
14,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2025-04-29 06:54:03,2025-04-29 04:21:07,8892.0,3.0,1747.0,95.0,3205.0,487.0,2851.0,17063.0,,,,144143.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,34511.0,34511.0,327.0,36,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,144143.0,,
15,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2025-05-06 09:06:43,2025-04-24 12:18:49,22442.0,43.0,210.0,25.0,748.0,3.0,156.0,806.0,2025-04-24 12:20:56,5.3.2,13429.0,161.0,96.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,42397.0,42397.0,1530.0,35,True,3,,,,,
16,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2025-03-28 15:00:10,2024-12-23 12:52:22,1469.0,,4982.0,504.0,991.0,63.0,2795.0,18988.0,2022-09-06 10:10:34,3.6.5,,15342694.0,90.0,The official router for Vue 2.,3.0,3.0,291.0,34,True,3,vue-router,https://www.npmjs.com/package/vue-router,15342694.0,,
17,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2025-04-22 13:30:08,2025-04-22 13:30:08,4836.0,3.0,1280.0,112.0,944.0,104.0,3419.0,11015.0,2024-12-22 16:28:52,4.15.0,,,100.0,Painless Vue forms.,93772.0,93772.0,395.0,34,True,1,,,,,
18,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2025-05-08 01:50:13,2025-05-08 00:15:45,3341.0,82.0,319.0,59.0,5103.0,173.0,1062.0,1017.0,2025-04-24 22:26:08,@aws-amplify/ui-react-storage@3.10.2,,93872.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",73096.0,73096.0,145.0,34,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,93872.0,,
19,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2025-04-22 13:49:16,2025-04-22 13:49:16,2768.0,10.0,468.0,84.0,1577.0,26.0,948.0,8784.0,2025-03-21 13:33:11,@urql/exchange-throw-on-error@0.1.2,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,684769.0,684769.0,271.0,33,True,2,,,,,
20,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2025-04-24 13:46:50,2025-04-24 13:46:36,3698.0,21.0,352.0,33.0,1816.0,449.0,2078.0,3616.0,2024-10-17 15:15:46,1.10.3,,13208.0,61.0,"Vuestic UI is an open-source Vue 3 component library designed for rapid development, easy maintenance, and high..",1815.0,1815.0,136.0,32,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,13208.0,,
21,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2025-05-08 04:08:22,2025-05-08 03:58:59,10460.0,179.0,1811.0,327.0,2651.0,587.0,1717.0,18596.0,2025-05-02 21:35:03,19.0.0,,,87.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,942.0,31,True,2,,,,1.0,
22,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1581.0,256.0,142.0,83.0,453.0,10056.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,133471.0,133471.0,26.0,30,True,3,,,,,
23,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,,2014-08-18 11:54:00,2025-03-31 10:29:59,2025-03-31 10:19:55,1482.0,1.0,3443.0,770.0,340.0,19.0,1176.0,24289.0,2025-03-31 11:27:59,9.0.0,,,42.0,Bootstrap 5 & Material Design UI KIT.,13897.0,13897.0,120.0,29,True,1,,,,,
24,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2025-05-08 08:00:24,2025-05-05 07:34:15,1951.0,101.0,172.0,7.0,837.0,19.0,429.0,1147.0,2025-05-05 07:36:22,0.10.5,,5053.0,62.0,Oruga is a lightweight Vue.js UI component library without any CSS dependency.,3.0,3.0,84.0,27,True,3,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,5053.0,,
25,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2023-09-01 14:05:16,2025-05-08 16:34:44,2025-04-30 13:32:00,1043.0,38.0,182.0,7.0,476.0,130.0,239.0,2303.0,2025-04-28 14:25:58,7.7.6,,,76.0,Browser devtools extension for debugging Vue.js applications.,3696.0,3696.0,67.0,26,True,1,,,,,
