,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2025-03-13 14:20:27,2025-03-13 14:13:56,6099.0,247.0,4375.0,618.0,3506.0,84.0,4033.0,86318.0,2025-03-13 11:58:51,4.0.14,5571868.0,142868.0,100.0,A utility-first CSS framework for rapid UI development.,13618325.0,13618325.0,305.0,47,True,1,,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2025-03-13 16:45:50,2025-03-13 14:31:00,6179.0,190.0,17813.0,206.0,7974.0,1528.0,5816.0,25352.0,2025-03-07 11:35:02,2.9.6,,1169120.0,100.0,A Vue.js 3 UI Library made by Element team.,113190.0,113190.0,727.0,44,True,1,element-plus,https://www.npmjs.com/package/element-plus,1169120.0,,
2,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2025-03-13 09:18:42,2025-03-13 09:18:40,13203.0,750.0,1377.0,90.0,1643.0,571.0,5187.0,12054.0,2025-03-12 11:50:30,4.3.2,,1370708.0,100.0,Next Generation Vue UI Component Library.,34459.0,34459.0,374.0,43,True,1,primevue,https://www.npmjs.com/package/primevue,1370708.0,,
3,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2025-03-13 01:29:49,2025-03-12 07:23:22,1645.0,34.0,10874.0,1184.0,1787.0,565.0,4210.0,106507.0,2025-03-12 07:23:59,1.8.3,,,91.0,Promise based HTTP client for the browser and node.js.,16057997.0,16057997.0,499.0,42,True,1,,,,,
4,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-09-25 13:26:41,2024-09-25 13:26:40,1211.0,,9494.0,760.0,983.0,99.0,1167.0,28455.0,2021-06-17 15:52:07,4.0.2,,7152471.0,51.0,Centralized State Management for Vue.js.,1344508.0,1344508.0,336.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7152471.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2025-03-11 00:40:52,2025-03-10 23:49:50,6759.0,28.0,1279.0,189.0,2351.0,98.0,1274.0,27922.0,2025-03-10 23:34:20,@xstate/store@3.2.1,,8652714.0,100.0,Actor-based state management & orchestration for complex app logic.,312205.0,312205.0,366.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,8652714.0,,
6,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2025-03-07 11:11:39,2025-03-07 09:23:08,14961.0,172.0,3562.0,459.0,4713.0,510.0,7421.0,26363.0,2025-03-06 13:27:35,quasar-v2.18.1,,720278.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,56663.0,56663.0,762.0,42,True,2,quasar,https://www.npmjs.com/package/quasar,720278.0,,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2025-03-04 16:41:01,2025-03-04 16:41:01,2470.0,12.0,1208.0,54.0,1228.0,31.0,914.0,4127.0,2024-11-25 15:00:41,4.5.0,,6754111.0,72.0,The official router for Vue.js.,2521959.0,2521959.0,251.0,42,True,1,router,https://www.npmjs.com/package/router,6754111.0,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2025-03-10 08:05:13,2025-03-10 08:05:09,2115.0,51.0,1096.0,65.0,910.0,20.0,762.0,13644.0,2025-02-11 14:59:44,3.0.0,,8307504.0,100.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",338368.0,338368.0,264.0,41,True,2,pinia,https://www.npmjs.com/package/pinia,8307504.0,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2025-01-05 22:09:18,2024-10-31 12:57:01,5382.0,,1853.0,286.0,3684.0,171.0,3231.0,14517.0,2022-04-17 12:49:53,2.22.0,,954514.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,182541.0,182541.0,358.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,954514.0,,
